comp_id,market,address,bedrooms,bathrooms,square_feet,unit_count,monthly_rent,concession_pct,days_on_market,distance_miles,condition_score,source,confidence,notes
RC-0001,"San Antonio, TX",100 Fixture Rent St,1,2.5,2670,1,3685.36,0.0529,79,2.82,9.2,synthetic_fixture,0.61,Synthetic rent comp for v5 UI and validation workflows.
RC-0002,"Raleigh, NC",101 Fixture Rent St,1,3,2321,1,4121.34,0.0013,24,7.1,4.6,synthetic_fixture,0.9,Synthetic rent comp for v5 UI and validation workflows.
RC-0003,"Cleveland, OH",102 Fixture Rent St,3,1.5,731,1,1592.49,0.0724,57,1.2,7.8,synthetic_fixture,0.76,Synthetic rent comp for v5 UI and validation workflows.
RC-0004,"Phoenix, AZ",103 Fixture Rent St,3,1,1629,1,2628.37,0.0558,44,4.01,8.2,synthetic_fixture,0.58,Synthetic rent comp for v5 UI and validation workflows.
RC-0005,"Tampa, FL",104 Fixture Rent St,3,2.5,1899,1,2885.03,0.0543,66,2.12,7.9,synthetic_fixture,0.75,Synthetic rent comp for v5 UI and validation workflows.
RC-0006,"Kansas City, MO",105 Fixture Rent St,6,2,3006,2,4461.7,0.0752,31,2.11,7.9,synthetic_fixture,0.65,Synthetic rent comp for v5 UI and validation workflows.
RC-0007,"Columbus, OH",106 Fixture Rent St,4,2,4730,2,6975.44,0.0405,40,4.54,8.5,synthetic_fixture,0.79,Synthetic rent comp for v5 UI and validation workflows.
RC-0008,"Charlotte, NC",107 Fixture Rent St,4,2.5,2407,1,4346.99,0.0173,53,6.66,6.9,synthetic_fixture,0.64,Synthetic rent comp for v5 UI and validation workflows.
RC-0009,"Atlanta, GA",108 Fixture Rent St,4,1,2537,1,4103.13,0.0739,80,2.4,5.2,synthetic_fixture,0.88,Synthetic rent comp for v5 UI and validation workflows.
RC-0010,"Indianapolis, IN",109 Fixture Rent St,6,2,3088,2,5676.56,0.0195,58,7.97,7.7,synthetic_fixture,0.87,Synthetic rent comp for v5 UI and validation workflows.
RC-0011,"Dallas, TX",110 Fixture Rent St,3,2,2108,1,2273.55,0.064,49,7.96,4.6,synthetic_fixture,0.61,Synthetic rent comp for v5 UI and validation workflows.
RC-0012,"Jacksonville, FL",111 Fixture Rent St,1,1,2292,1,3681.36,0.0366,38,1.46,9.1,synthetic_fixture,0.77,Synthetic rent comp for v5 UI and validation workflows.
RC-0013,"San Antonio, TX",112 Fixture Rent St,4,1.5,837,1,1578.86,0.0732,65,7.27,8.5,synthetic_fixture,0.77,Synthetic rent comp for v5 UI and validation workflows.
RC-0014,"Raleigh, NC",113 Fixture Rent St,1,1.5,2064,1,3819.11,0.045,6,0.6,5.1,synthetic_fixture,0.76,Synthetic rent comp for v5 UI and validation workflows.
RC-0015,"Cleveland, OH",114 Fixture Rent St,2,1,1100,1,1622.74,0.024,46,0.28,5.4,synthetic_fixture,0.76,Synthetic rent comp for v5 UI and validation workflows.
RC-0016,"Phoenix, AZ",115 Fixture Rent St,1,1.5,1509,1,2206.31,0.0727,79,2.19,7.7,synthetic_fixture,0.8,Synthetic rent comp for v5 UI and validation workflows.
RC-0017,"Tampa, FL",116 Fixture Rent St,3,1.5,1566,1,3054.82,0.0063,15,0.98,5.6,synthetic_fixture,0.68,Synthetic rent comp for v5 UI and validation workflows.
RC-0018,"Kansas City, MO",117 Fixture Rent St,2,2.5,1775,1,3980.46,0.0286,61,6.56,5.2,synthetic_fixture,0.71,Synthetic rent comp for v5 UI and validation workflows.
RC-0019,"Columbus, OH",118 Fixture Rent St,6,1,2800,2,5648.58,0.0554,70,2.97,5.6,synthetic_fixture,0.62,Synthetic rent comp for v5 UI and validation workflows.
RC-0020,"Charlotte, NC",119 Fixture Rent St,1,2,2077,1,2910.02,0.0506,58,7.82,8.3,synthetic_fixture,0.85,Synthetic rent comp for v5 UI and validation workflows.
RC-0021,"Atlanta, GA",120 Fixture Rent St,1,2.5,1600,1,2302.42,0.0532,41,2.82,6.2,synthetic_fixture,0.83,Synthetic rent comp for v5 UI and validation workflows.
RC-0022,"Indianapolis, IN",121 Fixture Rent St,4,1.5,2508,1,4735.72,0.0379,72,6.78,6.5,synthetic_fixture,0.62,Synthetic rent comp for v5 UI and validation workflows.
RC-0023,"Dallas, TX",122 Fixture Rent St,4,1,3348,2,5063.27,0.0534,63,3.06,6.5,synthetic_fixture,0.82,Synthetic rent comp for v5 UI and validation workflows.
RC-0024,"Jacksonville, FL",123 Fixture Rent St,1,1.5,2392,1,3250.23,0.0603,6,4.16,7.0,synthetic_fixture,0.74,Synthetic rent comp for v5 UI and validation workflows.
RC-0025,"San Antonio, TX",124 Fixture Rent St,2,2.5,4512,2,5602.73,0.0457,13,4.87,6.5,synthetic_fixture,0.56,Synthetic rent comp for v5 UI and validation workflows.
RC-0026,"Raleigh, NC",125 Fixture Rent St,4,2.5,2026,1,4436.5,0.0753,42,2.75,7.8,synthetic_fixture,0.82,Synthetic rent comp for v5 UI and validation workflows.
RC-0027,"Cleveland, OH",126 Fixture Rent St,8,2.5,4940,4,10627.04,0.0353,15,7.59,9.0,synthetic_fixture,0.63,Synthetic rent comp for v5 UI and validation workflows.
RC-0028,"Phoenix, AZ",127 Fixture Rent St,3,1,807,1,1146.18,0.0526,22,0.55,6.2,synthetic_fixture,0.85,Synthetic rent comp for v5 UI and validation workflows.
RC-0029,"Tampa, FL",128 Fixture Rent St,4,3,3738,2,5567.83,0.0141,33,0.95,5.7,synthetic_fixture,0.72,Synthetic rent comp for v5 UI and validation workflows.
RC-0030,"Kansas City, MO",129 Fixture Rent St,2,3,2458,1,3697.61,0.0488,17,5.77,5.9,synthetic_fixture,0.56,Synthetic rent comp for v5 UI and validation workflows.
RC-0031,"Columbus, OH",130 Fixture Rent St,1,3,1709,1,2192.47,0.0681,28,5.21,5.7,synthetic_fixture,0.88,Synthetic rent comp for v5 UI and validation workflows.
RC-0032,"Charlotte, NC",131 Fixture Rent St,1,1,1571,1,3375.17,0.0549,23,5.35,7.3,synthetic_fixture,0.73,Synthetic rent comp for v5 UI and validation workflows.
RC-0033,"Atlanta, GA",132 Fixture Rent St,2,3,1963,1,2098.37,0.0092,62,4.88,6.3,synthetic_fixture,0.84,Synthetic rent comp for v5 UI and validation workflows.
RC-0034,"Indianapolis, IN",133 Fixture Rent St,2,1.5,913,1,1955.32,0.0407,57,1.22,7.4,synthetic_fixture,0.83,Synthetic rent comp for v5 UI and validation workflows.
RC-0035,"Dallas, TX",134 Fixture Rent St,8,1.5,10612,4,14053.53,0.0078,73,2.04,7.2,synthetic_fixture,0.58,Synthetic rent comp for v5 UI and validation workflows.
RC-0036,"Jacksonville, FL",135 Fixture Rent St,4,2.5,2463,1,3229.97,0.0622,17,6.21,6.2,synthetic_fixture,0.76,Synthetic rent comp for v5 UI and validation workflows.
RC-0037,"San Antonio, TX",136 Fixture Rent St,6,2,5292,2,5562.82,0.068,13,3.05,5.4,synthetic_fixture,0.64,Synthetic rent comp for v5 UI and validation workflows.
RC-0038,"Raleigh, NC",137 Fixture Rent St,2,1,859,1,912.62,0.0105,51,5.96,6.9,synthetic_fixture,0.76,Synthetic rent comp for v5 UI and validation workflows.
RC-0039,"Cleveland, OH",138 Fixture Rent St,12,2,3160,4,6681.71,0.0704,24,4.8,6.9,synthetic_fixture,0.72,Synthetic rent comp for v5 UI and validation workflows.
RC-0040,"Phoenix, AZ",139 Fixture Rent St,2,2,1686,2,2251.29,0.0007,29,2.26,7.7,synthetic_fixture,0.72,Synthetic rent comp for v5 UI and validation workflows.
RC-0041,"Tampa, FL",140 Fixture Rent St,2,1.5,1868,1,3363.37,0.0631,72,4.09,4.7,synthetic_fixture,0.88,Synthetic rent comp for v5 UI and validation workflows.
RC-0042,"Kansas City, MO",141 Fixture Rent St,4,1,4764,4,7554.22,0.0697,43,0.89,5.6,synthetic_fixture,0.69,Synthetic rent comp for v5 UI and validation workflows.
RC-0043,"Columbus, OH",142 Fixture Rent St,1,1,1921,1,2385.15,0.0188,73,1.44,8.2,synthetic_fixture,0.61,Synthetic rent comp for v5 UI and validation workflows.
RC-0044,"Charlotte, NC",143 Fixture Rent St,4,2.5,5824,4,10903.52,0.0418,55,1.86,8.5,synthetic_fixture,0.64,Synthetic rent comp for v5 UI and validation workflows.
RC-0045,"Atlanta, GA",144 Fixture Rent St,16,1.5,4008,4,7327.49,0.0591,79,0.2,8.0,synthetic_fixture,0.77,Synthetic rent comp for v5 UI and validation workflows.
RC-0046,"Indianapolis, IN",145 Fixture Rent St,2,1,2641,1,4130.77,0.0034,48,1.12,5.7,synthetic_fixture,0.82,Synthetic rent comp for v5 UI and validation workflows.
RC-0047,"Dallas, TX",146 Fixture Rent St,4,1,2591,1,5560.26,0.0347,37,4.53,8.6,synthetic_fixture,0.56,Synthetic rent comp for v5 UI and validation workflows.
RC-0048,"Jacksonville, FL",147 Fixture Rent St,8,2.5,7852,4,9226.41,0.0005,50,0.74,5.0,synthetic_fixture,0.84,Synthetic rent comp for v5 UI and validation workflows.
RC-0049,"San Antonio, TX",148 Fixture Rent St,3,2,1734,1,3482.32,0.0208,49,3.42,6.7,synthetic_fixture,0.78,Synthetic rent comp for v5 UI and validation workflows.
RC-0050,"Raleigh, NC",149 Fixture Rent St,1,3,2036,1,3089.39,0.0149,57,4.04,5.6,synthetic_fixture,0.72,Synthetic rent comp for v5 UI and validation workflows.
