comp_id,market,address,sale_date,sale_price,bedrooms,bathrooms,square_feet,unit_count,cap_rate,price_per_unit,distance_miles,condition_score,source,confidence,notes
SC-0001,"San Antonio, TX",200 Fixture Sale Ave,2020-01-15,987000.0,8,10.0,4020,4,0.0713,246750.0,2.86,4.3,synthetic_fixture,0.89,Synthetic sale comp for v5 UI and validation workflows.
SC-0002,"Raleigh, NC",201 Fixture Sale Ave,2021-02-15,1008700.0,4,4,4252,2,0.0575,504350.0,9.38,8.7,synthetic_fixture,0.72,Synthetic sale comp for v5 UI and validation workflows.
SC-0003,"Cleveland, OH",202 Fixture Sale Ave,2022-03-15,5763700.0,32,20.0,25040,8,0.0778,720462.5,5.08,6.9,synthetic_fixture,0.92,Synthetic sale comp for v5 UI and validation workflows.
SC-0004,"Phoenix, AZ",203 Fixture Sale Ave,2023-04-15,2468100.0,16,8,10992,8,0.0808,308512.5,0.41,4.2,synthetic_fixture,0.85,Synthetic sale comp for v5 UI and validation workflows.
SC-0005,"Tampa, FL",204 Fixture Sale Ave,2024-05-15,217800.0,3,2.5,1835,1,0.0807,217800.0,0.77,4.7,synthetic_fixture,0.62,Synthetic sale comp for v5 UI and validation workflows.
SC-0006,"Kansas City, MO",205 Fixture Sale Ave,2025-06-15,1050400.0,12,10.0,4528,4,0.0703,262600.0,0.25,9.2,synthetic_fixture,0.59,Synthetic sale comp for v5 UI and validation workflows.
SC-0007,"Columbus, OH",206 Fixture Sale Ave,2026-07-15,411800.0,4,2.5,1972,1,0.0488,411800.0,4.24,9.2,synthetic_fixture,0.61,Synthetic sale comp for v5 UI and validation workflows.
SC-0008,"Charlotte, NC",207 Fixture Sale Ave,2020-08-15,1195700.0,12,10.0,4864,4,0.0478,298925.0,2.66,7.0,synthetic_fixture,0.73,Synthetic sale comp for v5 UI and validation workflows.
SC-0009,"Atlanta, GA",208 Fixture Sale Ave,2021-09-15,215100.0,4,2.5,764,1,0.0816,215100.0,2.39,4.9,synthetic_fixture,0.73,Synthetic sale comp for v5 UI and validation workflows.
SC-0010,"Indianapolis, IN",209 Fixture Sale Ave,2022-10-15,424300.0,2,1,1868,1,0.0668,424300.0,1.43,8.6,synthetic_fixture,0.8,Synthetic sale comp for v5 UI and validation workflows.
SC-0011,"Dallas, TX",210 Fixture Sale Ave,2023-11-15,6850000.0,32,16,24152,8,0.0732,856250.0,8.13,4.3,synthetic_fixture,0.63,Synthetic sale comp for v5 UI and validation workflows.
SC-0012,"Jacksonville, FL",211 Fixture Sale Ave,2024-12-15,443200.0,2,3,1768,1,0.0912,443200.0,8.05,6.4,synthetic_fixture,0.78,Synthetic sale comp for v5 UI and validation workflows.
