deal_id,as_of_date,market,property_type,units,purchase_price,rehab_budget,monthly_rent,vacancy_rate,taxes_annual,insurance_annual,repairs_annual,capex_annual,management_rate,loan_amount,interest_rate,actual_year1_noi,actual_year1_occupancy,actual_3yr_appreciation,exit_status,notes
HD-0001,2018-Q1,"San Antonio, TX",single_family,1,301739,5000,904.49,0.0469,3117.7,2508.76,1663.51,1844.79,0.08,170948.72,0.0521,345.68,0.929,0.1006,watchlist,Synthetic fixture for model validation and backtesting examples.
HD-0002,2019-Q2,"Raleigh, NC",duplex,2,791412,25000,2034.84,0.1038,7189.57,6915.22,3754.79,2888.8,0.08,478221.73,0.0806,-579.36,0.8849,-0.0522,held,Synthetic fixture for model validation and backtesting examples.
HD-0003,2020-Q3,"Cleveland, OH",triplex,3,615663,40000,2006.28,0.0741,6540.03,5845.67,3030.96,4107.26,0.08,455415.1,0.0782,935.12,0.8896,-0.0223,held,Synthetic fixture for model validation and backtesting examples.
HD-0004,2021-Q4,"Phoenix, AZ",fourplex,4,528968,90000,2525.53,0.0548,5455.26,2807.14,7159.83,5934.93,0.08,393132.34,0.0559,4577.6,0.9539,0.201,held,Synthetic fixture for model validation and backtesting examples.
HD-0005,2022-Q1,"Tampa, FL",small_multifamily,8,609451,40000,5137.62,0.0673,13324.92,4668.39,13437.84,15963.06,0.08,483097.99,0.0746,4970.65,0.9248,-0.0704,sold_below_plan,Synthetic fixture for model validation and backtesting examples.
HD-0006,2023-Q2,"Kansas City, MO",single_family,1,254403,10000,1010.78,0.096,2992.83,1715.95,2138.56,1928.56,0.08,154110.06,0.0536,1427.55,0.8983,0.0817,watchlist,Synthetic fixture for model validation and backtesting examples.
HD-0007,2024-Q3,"Columbus, OH",duplex,2,831878,25000,2458.79,0.0468,12823.99,6998.24,4211.09,2289.09,0.08,502812.46,0.0715,-463.3,0.9929,0.0354,watchlist,Synthetic fixture for model validation and backtesting examples.
HD-0008,2018-Q4,"Charlotte, NC",triplex,3,809816,15000,3464.06,0.036,14875.82,6422.75,4955.28,3980.76,0.08,575244.18,0.0527,6476.11,1.0018,0.0561,sold_below_plan,Synthetic fixture for model validation and backtesting examples.
HD-0009,2019-Q1,"Atlanta, GA",fourplex,4,477330,40000,3925.39,0.0604,8260.84,3560.07,4455.9,8480.07,0.08,348710.0,0.0747,16136.33,0.9387,-0.0798,sold_below_plan,Synthetic fixture for model validation and backtesting examples.
HD-0010,2020-Q2,"Indianapolis, IN",small_multifamily,8,547301,15000,7261.13,0.0611,5337.84,5039.03,17805.83,8296.36,0.08,372118.32,0.0513,42424.63,0.9517,0.1498,sold_above_plan,Synthetic fixture for model validation and backtesting examples.
HD-0011,2021-Q3,"Dallas, TX",single_family,1,761510,10000,1410.93,0.071,8950.31,5334.7,1921.9,1221.84,0.08,479643.71,0.0818,-3117.63,0.9251,0.0514,watchlist,Synthetic fixture for model validation and backtesting examples.
HD-0012,2022-Q4,"Jacksonville, FL",duplex,2,479947,10000,1314.72,0.0821,7990.98,1702.25,3781.95,1988.4,0.08,277066.05,0.05,-2010.03,0.9314,0.0742,sold_below_plan,Synthetic fixture for model validation and backtesting examples.
HD-0013,2023-Q1,"San Antonio, TX",triplex,3,479643,40000,2939.43,0.0835,7264.06,4124.94,6091.49,3613.97,0.08,297388.62,0.0632,8409.26,0.9304,0.0601,held,Synthetic fixture for model validation and backtesting examples.
HD-0014,2024-Q2,"Raleigh, NC",fourplex,4,393198,5000,2864.6,0.1082,4809.81,1862.33,6112.24,6300.04,0.08,244519.61,0.0572,10508.42,0.8596,0.0529,watchlist,Synthetic fixture for model validation and backtesting examples.
HD-0015,2018-Q3,"Cleveland, OH",small_multifamily,8,996847,90000,4888.52,0.0991,12034.87,6122.33,12591.21,18267.53,0.08,823353.83,0.0544,-324.23,0.8837,0.0371,refinanced,Synthetic fixture for model validation and backtesting examples.
HD-0016,2019-Q4,"Phoenix, AZ",single_family,1,767765,65000,1331.53,0.0602,16578.52,5577.56,1659.07,2096.76,0.08,468969.95,0.0683,-12109.18,0.9044,0.1758,sold_above_plan,Synthetic fixture for model validation and backtesting examples.
HD-0017,2020-Q1,"Tampa, FL",duplex,2,752496,5000,1867.47,0.0408,15203.17,4608.69,4436.47,3622.96,0.08,517484.44,0.0503,-6877.32,0.961,0.1172,watchlist,Synthetic fixture for model validation and backtesting examples.
HD-0018,2021-Q2,"Kansas City, MO",triplex,3,528432,10000,2391.72,0.0576,5654.97,4066.68,4620.34,7159.29,0.08,412018.34,0.0493,3529.94,0.9083,0.0889,held,Synthetic fixture for model validation and backtesting examples.
HD-0019,2022-Q3,"Columbus, OH",fourplex,4,513508,40000,3872.2,0.1099,10491.23,3030.69,4483.38,8935.97,0.08,393994.84,0.0692,13058.38,0.9035,0.1162,held,Synthetic fixture for model validation and backtesting examples.
HD-0020,2023-Q4,"Charlotte, NC",small_multifamily,8,1011542,15000,5471.34,0.1096,12581.62,9390.28,15515.07,9189.73,0.08,631122.07,0.056,6704.69,0.8908,0.1262,sold_below_plan,Synthetic fixture for model validation and backtesting examples.
HD-0021,2024-Q1,"Atlanta, GA",single_family,1,448319,90000,1028.52,0.1055,4291.82,2541.12,1083.15,2467.68,0.08,316081.46,0.0636,-243.64,0.8605,0.0883,held,Synthetic fixture for model validation and backtesting examples.
HD-0022,2018-Q2,"Indianapolis, IN",duplex,2,376294,40000,1522.79,0.082,5489.09,1419.34,2821.02,4785.88,0.08,322047.18,0.0503,870.74,0.9063,0.1246,held,Synthetic fixture for model validation and backtesting examples.
HD-0023,2019-Q3,"Dallas, TX",triplex,3,842080,90000,2935.63,0.0481,17758.16,7679.72,6800.07,6591.7,0.08,701600.6,0.0498,-8658.72,0.9761,0.0197,refinanced,Synthetic fixture for model validation and backtesting examples.
HD-0024,2020-Q4,"Jacksonville, FL",fourplex,4,550222,15000,3494.1,0.0675,5228.99,3609.17,4717.61,9478.09,0.08,356328.07,0.0761,14666.6,0.9244,-0.0131,sold_above_plan,Synthetic fixture for model validation and backtesting examples.
HD-0025,2021-Q1,"San Antonio, TX",small_multifamily,8,722136,90000,6925.13,0.0648,11281.41,5717.06,16649.01,11438.72,0.08,451830.34,0.0779,24142.52,0.8983,0.0942,sold_below_plan,Synthetic fixture for model validation and backtesting examples.
HD-0026,2022-Q2,"Raleigh, NC",single_family,1,810550,25000,1450.84,0.0721,17665.99,3446.21,2159.31,1204.13,0.08,468082.55,0.0634,-9682.15,0.917,0.162,sold_above_plan,Synthetic fixture for model validation and backtesting examples.
HD-0027,2023-Q3,"Cleveland, OH",duplex,2,293372,65000,1827.23,0.0914,3115.65,2743.12,3219.94,3934.06,0.08,223990.41,0.072,5420.21,0.9228,-0.0224,refinanced,Synthetic fixture for model validation and backtesting examples.
HD-0028,2024-Q4,"Phoenix, AZ",triplex,3,437480,40000,2387.72,0.1059,5665.53,2128.86,6000.19,5611.98,0.08,298003.54,0.0636,4425.46,0.9068,0.0734,sold_above_plan,Synthetic fixture for model validation and backtesting examples.
HD-0029,2018-Q1,"Tampa, FL",fourplex,4,587571,40000,3561.1,0.0429,12559.92,2953.51,5338.35,8762.0,0.08,366433.32,0.0505,9410.37,0.9535,0.1034,held,Synthetic fixture for model validation and backtesting examples.
HD-0030,2019-Q2,"Kansas City, MO",small_multifamily,8,1033634,10000,6264.81,0.069,11285.66,8237.59,17197.79,18213.64,0.08,786542.07,0.0747,8499.38,0.9282,0.1612,watchlist,Synthetic fixture for model validation and backtesting examples.
HD-0031,2020-Q3,"Columbus, OH",single_family,1,769482,10000,1409.23,0.0463,11573.29,5349.71,1682.5,1407.68,0.08,564116.97,0.0636,-5762.54,0.9801,0.1876,refinanced,Synthetic fixture for model validation and backtesting examples.
HD-0032,2021-Q4,"Charlotte, NC",duplex,2,794485,25000,2474.18,0.0753,9827.37,4057.48,3585.45,4250.6,0.08,548972.15,0.0697,3250.2,0.9035,-0.0568,sold_below_plan,Synthetic fixture for model validation and backtesting examples.
HD-0033,2022-Q1,"Atlanta, GA",triplex,3,607161,15000,2267.16,0.0478,8487.78,2728.12,3598.6,4691.37,0.08,389536.69,0.0644,3645.27,0.9846,0.1699,refinanced,Synthetic fixture for model validation and backtesting examples.
HD-0034,2023-Q2,"Indianapolis, IN",fourplex,4,902451,65000,3945.76,0.0839,13717.92,8688.64,5272.23,6095.91,0.08,730500.54,0.0766,6216.08,0.9479,0.1404,watchlist,Synthetic fixture for model validation and backtesting examples.
HD-0035,2024-Q3,"Dallas, TX",small_multifamily,8,941945,10000,6253.49,0.0681,16668.05,8183.55,15310.83,17958.47,0.08,724900.95,0.0814,6292.47,0.9371,0.1921,watchlist,Synthetic fixture for model validation and backtesting examples.
HD-0036,2018-Q4,"Jacksonville, FL",single_family,1,213418,5000,758.79,0.0742,2060.27,1272.86,1196.32,1422.95,0.08,158371.14,0.0615,1966.65,0.9526,0.1696,sold_below_plan,Synthetic fixture for model validation and backtesting examples.
HD-0037,2019-Q1,"San Antonio, TX",duplex,2,713152,5000,1769.27,0.1159,8497.13,2814.11,4480.4,1928.83,0.08,400108.98,0.0572,-506.72,0.8542,0.1064,sold_above_plan,Synthetic fixture for model validation and backtesting examples.
HD-0038,2020-Q2,"Raleigh, NC",triplex,3,374946,40000,2484.05,0.0568,5172.62,2788.96,6747.69,6148.11,0.08,302450.88,0.0544,4668.12,0.9493,0.0936,sold_below_plan,Synthetic fixture for model validation and backtesting examples.
HD-0039,2021-Q3,"Cleveland, OH",fourplex,4,683537,25000,3091.45,0.0853,13532.28,3471.36,7504.28,5530.13,0.08,501204.6,0.0756,1306.17,0.9025,0.0898,held,Synthetic fixture for model validation and backtesting examples.
HD-0040,2022-Q4,"Phoenix, AZ",small_multifamily,8,879186,65000,6321.98,0.064,17622.83,7776.53,8382.04,19498.08,0.08,657327.73,0.0763,12947.5,0.9732,0.0506,watchlist,Synthetic fixture for model validation and backtesting examples.
HD-0041,2023-Q1,"Tampa, FL",single_family,1,468201,40000,1209.12,0.0761,6864.98,3863.44,1275.75,2262.74,0.08,376611.57,0.0519,-2199.78,0.9295,-0.0068,refinanced,Synthetic fixture for model validation and backtesting examples.
HD-0042,2024-Q2,"Kansas City, MO",duplex,2,617399,15000,2051.25,0.0505,7259.1,5362.67,2752.95,4617.02,0.08,449807.87,0.0581,1244.09,0.9288,0.2044,held,Synthetic fixture for model validation and backtesting examples.
HD-0043,2018-Q3,"Columbus, OH",triplex,3,681170,25000,2406.34,0.0755,12434.04,4368.43,2772.42,4112.33,0.08,454075.97,0.057,924.57,0.927,0.0307,watchlist,Synthetic fixture for model validation and backtesting examples.
HD-0044,2019-Q4,"Charlotte, NC",fourplex,4,736173,65000,3228.69,0.0736,9560.02,3679.76,7639.19,5619.51,0.08,577535.69,0.0804,6969.35,0.9085,-0.0225,refinanced,Synthetic fixture for model validation and backtesting examples.
HD-0045,2020-Q1,"Atlanta, GA",small_multifamily,8,1048226,90000,5837.86,0.0435,12079.26,5218.74,9209.75,7381.1,0.08,765856.58,0.0581,32497.05,0.9675,0.086,sold_above_plan,Synthetic fixture for model validation and backtesting examples.
HD-0046,2021-Q2,"Indianapolis, IN",single_family,1,699723,5000,1494.02,0.0749,10304.19,3287.55,971.93,2405.7,0.08,465031.0,0.0761,-1649.64,0.8972,-0.0578,held,Synthetic fixture for model validation and backtesting examples.
HD-0047,2022-Q3,"Dallas, TX",duplex,2,810180,15000,1711.41,0.0824,11674.91,5974.94,3531.57,4282.22,0.08,526041.48,0.079,-7533.68,0.902,0.0966,refinanced,Synthetic fixture for model validation and backtesting examples.
